# GISP2 Sodium (Na+)
# meters,thousand years before present,PPB
Depth,Age,Sodium
223.246,0.8006,2.31
223.7,0.8025,3.529
224.152,0.80445,7.125
224.605,0.80635,3.389
225.058,0.8081,4.115
225.511,0.8098,3.625
225.963,0.81175,3.86
226.416,0.8136,2.747
226.868,0.8153,2.74
227.321,0.8172,4.591
227.773,0.8191,6.253
228.225,0.82095,5.136
228.678,0.82295,5.522
229.13,0.8249,3.876
229.582,0.8268,5.205
230.034,0.82895,3.699
230.486,0.83125,4.223
230.937,0.83335,3.897
231.389,0.83515,3.269
231.841,0.83695,5.959
232.293,0.83865,3.676
232.744,0.84035,5.382
233.196,0.8423,4.115
233.648,0.84425,2.076
234.099,0.84625,6.327
234.55,0.8482,2.922
235.001,0.85005,4.042
235.452,0.85195,3.968
235.904,0.85395,3.451
236.355,0.8557,5.308
236.805,0.8572,3.488
237.256,0.859,4.294
237.708,0.8611,4.511
238.158,0.86325,4.72
238.608,0.8654,4.941
239.06,0.86755,4.918
239.51,0.8697,8.214
239.96,0.8719,4.754
240.411,0.8742,4.901
240.861,0.87665,3.416
241.311,0.8789,3.803
241.762,0.88115,4.221
242.212,0.88315,3.934
242.662,0.8849,3.113
243.112,0.8867,8.292
243.561,0.88835,4.446
244.011,0.8902,4.763
244.358,0.8918,3.108
244.923,0.89395,3.051
245.361,0.89575,3.152
245.81,0.8976,4.918
246.26,0.8996,3.832
246.709,0.90175,3.715
247.159,0.9036,7.044
247.607,0.90535,3.55
248.056,0.90705,3.455
248.506,0.9088,5.741
248.955,0.9106,3.729
249.404,0.9126,3.32
249.852,0.91455,4.26
250.302,0.91645,5.345
250.75,0.91865,3.196
251.2,0.92105,5.118
251.648,0.9233,3.954
252.096,0.9254,6.899
252.545,0.9273,4.384
252.994,0.929,7.522
253.442,0.93065,4.193
253.89,0.9321,6.52
254.339,0.9337,5.423
254.787,0.93565,5.423
255.235,0.93775,4.718
255.683,0.9397,6.189
256.131,0.94155,6.322
256.579,0.9435,2.566
257.026,0.9455,6.233
257.474,0.9475,7.584
257.922,0.94935,6.412
258.37,0.95095,5.984
258.817,0.95275,6.012
259.264,0.95475,4.86
259.712,0.9566,5.906
260.159,0.95875,4.968
260.606,0.96135,3.186
261.053,0.96355,4.166
261.5,0.9655,5.136
261.862,0.96715,3.842
262.394,0.96925,3.881
262.841,0.9711,5.258
263.288,0.97305,5.874
263.736,0.97485,3.639
264.182,0.9766,3.538
264.628,0.9785,3.002
265.075,0.98045,5.095
265.522,0.98215,6.046
265.968,0.98405,2.775
266.414,0.9862,5.037
266.861,0.9882,3.92
267.307,0.99015,4.359
267.753,0.99215,3.009
268.199,0.9943,8.807
268.645,0.99625,1.75
269.091,0.998,3.209
269.537,0.9999,3.543
269.983,1.0018,4.14
270.428,1.0038,2.731
270.874,1.0059,6.226
271.32,1.0078,5.658
271.765,1.0096,6.469
272.211,1.0112,5.032
272.656,1.0128,4.026
273.101,1.0147,3.088
273.546,1.0163,3.536
273.991,1.0184,5.557
274.437,1.0207,2.839
274.882,1.0226,4.766
275.327,1.0247,5.131
275.772,1.0267,4.609
276.216,1.0287,4.524
276.661,1.0308,6.662
277.106,1.0328,2.54
277.55,1.0347,4.451
277.995,1.0367,3.545
278.44,1.0388,4.92
278.884,1.0409,2.182
279.328,1.0431,3.499
279.772,1.0453,4.106
280.217,1.0472,5.366
280.661,1.0492,4.258
281.105,1.0511,4.078
281.549,1.053,3.977
281.993,1.0548,4.63
282.437,1.0568,4.15
282.88,1.0588,3.6
283.324,1.0604,3.113
283.768,1.0624,4.867
284.212,1.0647,2.451
284.655,1.0668,6.485
285.099,1.0687,6.258
285.541,1.0704,4.655
285.985,1.0719,4.842
