years_ago,value,error
877,283.8,1.1
876,283.9,1.1
875,283.9,1.1
874,283.9,1.1
873,283.9,1.1
872,283.9,1.1
871,283.9,1.1
870,283.9,1.1
869,283.9,1.1
868,283.9,1.1
867,283.9,1.1
866,283.9,1.1
865,283.9,1.1
864,283.9,1.1
863,283.9,1.1
862,283.9,1.1
861,283.9,1.1
860,283.9,1.1
859,283.9,1.1
858,283.9,1.1
857,283.9,1.1
856,283.9,1.1
855,283.9,1.1
854,283.9,1.1
853,283.9,1.1
852,283.9,1.1
851,283.9,1.1
850,283.9,1.1
849,283.9,1.1
848,283.9,1.1
847,283.9,1.1
846,283.9,1.1
845,283.9,1.1
844,283.9,1.1
843,283.9,1.1
842,283.9,1.1
841,283.9,1.1
840,283.9,1.1
839,283.9,1.1
838,283.9,1.1
837,283.9,1.1
836,283.9,1.1
835,283.9,1.1
834,283.9,1.1
833,283.9,1.1
832,283.9,1.1
831,283.9,1.1
830,283.9,1.1
829,283.9,1.1
828,283.9,1.1
827,283.9,1.1
826,283.9,1.1
825,283.9,1.1
824,283.9,1.1
823,283.9,1.1
822,283.9,1.1
821,283.9,1.1
820,283.8,1.1
819,283.8,1.1
818,283.8,1.1
817,283.8,1.1
816,283.8,1.1
815,283.7,1.1
814,283.7,1.1
813,283.7,1.1
812,283.7,1.1
811,283.6,1.1
810,283.6,1.1
809,283.5,1.1
808,283.5,1.1
807,283.4,1.1
806,283.4,1.1
805,283.3,1.1
804,283.2,1.1
803,283.2,1.1
802,283.1,1.1
801,283.0,1.1
800,283.0,1.1
799,282.9,1.1
798,282.8,1.1
797,282.7,1.1
796,282.7,1.1
795,282.6,1.1
794,282.5,1.1
