years_ago,value
-7535.952,260.1016159110266
-7533.95625,260.11462514211905
-7531.9605,260.12735225660265
-7529.96475,260.1397816380189
-7527.969,260.15189815436327
-7525.97325,260.1636871580846
-7523.9775,260.1751344860859
-7521.98175,260.18622645972385
-7519.986,260.19694988480865
-7517.99025,260.20729205160484
-7515.9945,260.2172407348302
-7513.99875,260.22678419365667
-7512.003,260.23591117170974
-7510.00725,260.2446108970688
-7508.0115,260.2528730822669
-7506.0157500000005,260.2606879242912
-7504.02,260.26804610458214
-7502.02425,260.2749387890343
-7500.0285,260.28135762799616
-7498.03275,260.28729475626966
-7496.037,260.29274279311056
-7494.04125,260.37499026053734
-7492.0455,260.44783608598306
-7490.04975,260.51153694190583
-7488.054,260.56634789914307
-7486.05825,260.6125587232404
-7484.0625,260.6504510032463
-7482.06675,260.6802810851867
-7480.071,260.70230383020987
-7478.07525,260.7167726145864
-7476.0795,260.72393932970954
-7474.08375,260.724054382095
-7472.088,260.7173666933807
-7470.09225,260.7041237003275
-7468.0965,260.6845713548181
-7466.10075,260.65895412385794
-7464.105,260.6275149895753
-7462.1092499999995,260.5904954492202
-7460.1135,260.54813551516554
-7458.11775,260.5006737149066
-7456.122,260.44834709106107
-7454.12625,260.39139120136923
-7452.1305,260.33004011869383
-7450.13475,260.26452643101953
-7448.139,260.19508124145426
-7446.14325,260.12193416822794
-7444.1475,260.0453133446929
-7442.15175,259.96544541932417
-7440.156,259.88255555571914
-7438.16025,259.79686743259754
-7436.1645,259.7086032438017
-7434.16875,259.61798369829626
-7432.173,259.5252280201684
-7430.17725,259.4305539486279
-7428.1815,259.33417773800676
-7426.18575,259.2363141577595
-7424.1900000000005,259.1371764924631
-7422.1942500000005,259.03697654181707
-7420.1985,258.9359246206433
-7418.20275,258.8342295588862
-7416.207,258.73209870161253
-7414.21125,258.6297379090115
-7412.2155,258.52735155639493
-7410.21975,258.42514253419694
-7408.224,258.32331224797423
-7406.22825,258.2220606184058
-7404.2325,258.12158608129323
-7402.23675,258.0220855875605
-7400.241,257.9237546032541
-7398.24525,257.82678710954303
-7396.2495,257.7313756027185
-7394.25375,257.6377110941943
-7392.258,257.54598311050677
-7390.26225,257.45637969331466
-7388.2665,257.368772739328
-7386.27075,257.2833097235473
-7384.275,257.20014268385415
-7382.27925,257.11942157205544
-7380.2835,257.04129425388345
-7378.28775,256.96593224688473
-7376.292,256.8935536646142
-7374.29625,256.82428967945566
-7372.3005,256.7582695896004
-7370.30475,256.6956208190477
-7368.309,256.6364689176046
-7366.31325,256.58093756088545
-7364.3175,256.529148550313
-7362.32175,256.48122181311726
-7360.326,256.4372754023362
-7358.33025,256.39742549681546
-7356.3345,256.36178640120846
-7354.33875,256.33047054597625
-7352.343,256.3035884873879
-7350.34725,256.28124890752
-7348.3515,256.2635586142569
-7346.35575,256.25062254129085
-7344.36,256.2425437481215
-7342.3642500000005,256.2394234200567
-7340.3685000000005,256.2413608682117
-7338.37275,256.24845352950956
-7336.377,256.26079696668137
-7334.38125,256.27848486826565
-7332.3855,256.3016090486085
-7330.38975,256.33025944786436
-7328.394,256.3645241319949
-7326.39825,256.40448929276977
-7324.4025,256.4502392477663
-7322.40675,256.50185644036964
-7320.411,256.55942143977245
-7318.41525,256.6230129409754
-7316.4195,256.6927077647868
-7314.42375,256.76858085782277
-7312.428,256.85070529250703
-7310.43225,256.93915226707117
-7308.4365,257.0339911055545
-7306.44075,257.13528925780406
-7304.445,257.2431122994747
-7302.44925,257.35752393202887
-7300.4535,257.47858598273694
-7298.45775,257.6064775647571
-7296.4619999999995,257.74130427863577
-7294.46625,257.88310432563173
-7292.4705,257.9465723564458
-7290.47475,258.00999694206615
-7288.479,258.07335986088344
-7286.48325,258.13664347183965
-7284.4875,258.1998307144265
-7282.49175,258.2629051086873
-7280.496,258.32585075521536
-7278.50025,258.3886523351546
-7276.5045,258.4512951101999
-7274.50875,258.5137649225966
-7272.513,258.57604819514063
-7270.51725,258.6381319311788
-7268.5215,258.700003714608
-7266.52575,258.76165170987633
-7264.53,258.82306466198213
-7262.53425,258.8842318964746
-7260.5385,258.94514331945356
-7258.5427500000005,259.00578941756913
-7256.5470000000005,259.0661612580225
-7254.55125,259.12625048856535
-7252.5555,259.1860493374997
-7250.55975,259.24555061367835
-7248.564,259.30474770650517
-7246.56825,259.36363458593416
-7244.5725,259.4222058024699
-7242.57675,259.4804564871678
-7240.581,259.538382351634
-7238.58525,259.59597968802507
-7236.5895,259.6532453690483
-7234.59375,259.71017684796146
-7232.598,259.7667721585732
-7230.60225,259.8230299152426
-7228.6065,259.8789493128794
-7226.61075,259.9345301269441
-7224.615,259.9897727134475
-7222.61925,260.04467800895145
-7220.6235,260.0992475305683
-7218.62775,260.15348337596066
-7216.632,260.20738822334226
-7214.63625,260.2609653314772
-7212.6405,260.3142185396803
-7210.64475,260.3671522678169
-7208.649,260.4197715163031
-7206.65325,260.47208186610555
-7204.6575,260.5240894787415
-7202.66175,260.5758010962788
-7200.666,260.6272240413362
-7198.67025,260.678415429134
-7196.6745,260.73016716387355
-7194.67875,260.78240293635696
-7192.683,260.8350487447033
-7190.68725,260.8880328943478
-7188.6915,260.9412859980426
-7186.69575,260.99474097585653
-7184.7,261.0483330551747
-7182.70425,261.10199977069885
-7180.7085,261.1556809644477
-7178.71275,261.2093187857561
-7176.717,261.26282927401456
-7174.7212500000005,261.3160713937833
-7172.7255000000005,261.3689832513442
-7170.72975,261.42150504841305
-7168.734,261.47357908214
-7166.73825,261.5251497451092
-7164.7425,261.57616352533904
-7162.74675,261.62656900628207
-7160.751,261.6763168668248
-7158.75525,261.7253598812881
-7156.7595,261.77365291942687
-7154.76375,261.8211529464302
-7152.768,261.86781902292125
-7150.77225,261.9136123049574
-7148.7765,261.9584960440302
-7146.78075,262.0024355870653
-7144.785,262.0453983764224
-7142.78925,262.0873539498956
-7140.7935,262.12827394071263
-7138.79775,262.1681320775362
-7136.802,262.2069041844623
-7134.80625,262.2445681810216
-7132.8105,262.2811040821788
-7130.81475,262.3164939983324
-7128.819,262.35072213531566
-7126.82325,262.38377479439566
-7124.8275,262.4156403722734
-7122.83175,262.44630936108445
-7120.836,262.47577434839826
-7118.84025,262.50403001721844
-7116.8445,262.5310731459829
-7114.84875,262.5569026085635
-7112.853,262.58151937426635
-7110.85725,262.6049265078317
-7108.8615,262.627129169434
-7106.86575,262.6481346146816
-7104.87,262.6679521946174
-7102.87425,262.68659335571795
-7100.8785,262.7040716398945
-7098.88275,262.72040268449194
-7096.887,262.73581783979824
-7094.89125,262.7506430016837
-7092.8955000000005,262.76480351035383
-7090.8997500000005,262.7782280098099
-7088.904,262.7908484478483
-7086.90825,262.80260007606114
-7084.9125,262.813421449836
-7082.91675,262.82325442835577
-7080.921,262.83204417459893
-7078.92525,262.83973915533943
-7076.9295,262.84629114114654
-7074.93375,262.8516552063852
-7072.938,262.8557897292157
-7070.94225,262.8586563915938
-7068.9465,262.8602201792706
-7066.95075,262.86044938179293
-7064.955,262.859315592503
-7062.95925,262.8567937085382
-7060.9635,262.852861930832
-7058.96775,262.8475017641125
-7056.972,262.8406980169041
-7054.97625,262.8324388015261
-7052.9805,262.82271553409345
-7050.98475,262.8115229345167
-7048.989,262.7988590265016
-7046.9932499999995,262.78472513754946
-7044.9975,262.76912589895716
-7043.00175,262.75206924581704
-7041.006,262.7335664170168
-7039.01025,262.7136319552396
-7037.0145,262.69228370696396
-7035.01875,262.6695428224644
-7033.023,262.6454337558102
-7031.02725,262.6199842648665
-7029.0315,262.5932254112939
-7027.03575,262.56519156054827
-7025.04,262.5359203818812
-7023.04425,262.50545284833964
-7021.0485,262.4738332367658
-7019.05275,262.44110912779763
-7017.057,262.40733140586843
-7015.06125,262.37255425920705
-7013.0655,262.3368351798375
-7011.06975,262.30023496357995
-7009.0740000000005,262.26281771004915
-7007.0782500000005,262.2246508226559
-7005.0825,262.18580500860634
-7003.08675,262.146354278902
-7001.091,262.10637594833986
-6999.09525,262.0659506355126
-6997.0995,262.0251079276715
-6995.10375,261.9830593057523
-6993.108,261.9398062698394
-6991.11225,261.89535189704657
-6989.1165,261.8497008415171
-6987.12075,261.80285933442406
-6985.125,261.7548351839698
-6983.12925,261.7056377753859
-6981.1335,261.65527807093406
-6979.13775,261.60376860990493
-6977.142,261.5511235086189
-6975.14625,261.49735846042586
-6973.1505,261.442490735705
-6971.15475,261.3865391818653
-6969.159,261.3295242233452
-6967.16325,261.2714678616122
-6965.1675,261.212393675164
-6963.17175,261.1523268195273
-6961.176,261.0912940272583
-6959.18025,261.0289770556575
-6957.1845,260.9646487489623
-6955.18875,260.89845607654087
-6953.193,260.83054523690913
-6951.19725,260.7610616577316
-6949.2015,260.6901499958213
-6947.20575,260.61795413713924
-6945.21,260.54461719679495
-6943.21425,260.4702815190467
-6941.2185,260.3950886773004
-6939.22275,260.31917947411097
-6937.227,260.2426939411812
-6935.23125,260.1657713393625
-6933.2355,260.0885501586547
-6931.23975,260.0111681182058
-6929.244000000001,259.93376216631214
-6927.248250000001,259.8564684804186
-6925.2525000000005,259.77942246711837
-6923.2567500000005,259.7027587621529
-6921.261,259.626611230412
-6919.26525,259.5511129659339
-6917.2695,259.4763962919052
-6915.27375,259.402592760661
-6913.278,259.32983315368426
-6911.28225,259.25824748160676
-6909.2865,259.1879649842086
-6907.29075,259.11911413041804
-6905.295,259.0518226183119
-6903.29925,258.98621737511513
-6901.3035,258.9224245572012
-6899.30775,258.86056955009195
-6897.312,258.80077696845746
-6895.31625,258.7427895394295
-6893.3205,258.68623014982734
-6891.32475,258.6311391731775
-6889.329,258.57755463512524
-6887.33325,258.5255122134348
-6885.3375,258.47504523798915
-6883.34175,258.42618469079025
-6881.346,258.3789592059589
-6879.3502499999995,258.3323347820594
-6877.3545,258.2860315336038
-6875.35875,258.2402191004764
-6873.363,258.19506173962736
-6871.36725,258.15071832507317
-6869.3715,258.1073423478962
-6867.37575,258.06508191624476
-6865.38,258.0240797553331
-6863.38425,257.9844732074418
-6861.3885,257.9463942319171
-6859.39275,257.90996940517124
-6857.397,257.87531992068267
-6855.40125,257.84256158899575
-6853.4055,257.8118048377208
-6851.40975,257.7831547115342
-6849.414,257.75671087217836
-6847.41825,257.7325675984615
-6845.422500000001,257.7108137862581
